Entry,Gene Names,Protein families
P39277,yjeH b4141 JW4101,"Amino acid-polyamine-organocation (APC) superfamily, Amino acid efflux (AAE) (TC 2.A.3.13) family"
P39286,rsgA engC yjeQ b4161 JW4122,"TRAFAC class YlqF/YawG GTPase family, RsgA subfamily"
P39301,ulaA sgaT yjfS b4193 JW5744,UlaA family
P39304,ulaD sgaH yjfV b4196 JW4154,"HPS/KGPDC family, KGPDC subfamily"
P39315,qorB qor2 ytfG b4211 JW4169,NmrA-type oxidoreductase family
P39321,tamB ytfN ytfO b4221 JW4180,TamB family
P39344,idnT gntW yjgT b4265 JW4222,GntP permease family
P39353,nanY yjhC b4280 JW5769,Gfo/Idh/MocA family
P39371,nanM yjhT b4310 JW5777,NanM family
P39377,iadA yjiF b4328 JW4291,Peptidase M38 family
P39386,mdtM yjiO b4337 JW4300,Major facilitator superfamily
P39394,symE dinL sosC yjiW b4347 JW4310,SymE family
P39396,btsT yjiY b4354 JW5791,Peptide transporter carbon starvation (CstA) (TC 2.A.114) family
P39405,fhuF yjjS b4367 JW4331,
P39406,rsmC yjjT b4371 JW4333,"Methyltransferase superfamily, RsmC family"
P39411,yjjX b4394 JW5801,YjjX NTPase family
P39414,ttdT ygjC ygjE b3063 JW3035,"SLC13A/DASS transporter (TC 2.A.47) family, DIT1 subfamily"
P39452,nrdE b2675 JW2650,Ribonucleoside diphosphate reductase large chain family
P39453,torS yccI b0993 JW5135,
P39831,ydfG b1539 JW1532,Short-chain dehydrogenases/reductases (SDR) family
P39838,rcsD yojN yojP yojQ b2216 JW2204,RcsD family
P40191,pdxK yfeI b2418 JW2411,"Pyridoxine kinase family, PdxK subfamily"
P40710,nlpE cutF b0192 JW0188,
P40711,arfB yaeJ b0191 JW0187,Prokaryotic/mitochondrial release factor family
P40874,solA b1059 JW1046,"MSOX/MTOX family, MTOX subfamily"
P41036,nanT b3224 JW3193,"Major facilitator superfamily, Sialate:H(+) symporter (SHS) (TC 2.A.1.12) family"
P41052,mltB b2701 JW2671,
P41407,azoR acpD b1412 JW1409,Azoreductase type 1 family
P41409,rihA ybeK b0651 JW0646,"IUNH family, RihA subfamily"
P42588,patA ygjG b3073 JW5510,"Class-III pyridoxal-phosphate-dependent aminotransferase family, Putrescine aminotransferase subfamily"
P42593,fadH ygjL b3081 JW3052,NADH:flavin oxidoreductase/NADH oxidase family
P42620,yqjG b3102 JW3073,"GST superfamily, Xi-class GSH transferase family"
P42632,tdcE yhaS b3114 JW5522,"Glycyl radical enzyme (GRE) family, PFL subfamily"
P42641,obgE cgtA obg yhbZ b3183 JW3150,"TRAFAC class OBG-HflX-like GTPase superfamily, OBG GTPase family"
P43341,lpxH ybbF b0524 JW0513,LpxH family
P43671,pqiB pqi5B b0951 JW0934,PqiB family
P43672,uup ycbH ycbI b0949 JW0932,"ABC transporter superfamily, ABCF family, Uup subfamily"
P45395,kdsD yrbH b3197 JW3164,"SIS family, GutQ/KpsF subfamily"
P45424,nanQ yhcH b3221 JW3190,NanQ anomerase family
P45425,nanK yhcI b3222 JW5538,"ROK (NagC/XylR) family, NanK subfamily"
P45464,lpoA yraM b3147 JW3116,LpoA family
P45470,yhbO b3153 JW5529,Peptidase C56 family
P45475,ubiV yhbV b3159 JW5530,"Peptidase U32 family, UbiV subfamily"
P45508,yfaL yfaF yfaJ yfaK b2233 JW2227,
P45527,ubiU yhbU b3158 JW3127,"Peptidase U32 family, UbiU subfamily"
P45541,frlC yhfO yhfP b4474 JW5699,FrlC family
P45562,xapB b2406 JW2397,"Major facilitator superfamily, Nucleoside:H(+) symporter (NHS) (TC 2.A.1.10) family"
P45563,xapA pndA b2407 JW2398,PNP/MTAP phosphorylase family
P45568,dxr ispC yaeM b0173 JW0168,DXR family
P45577,proQ yebJ yobE yoeC b1831 JW5300,ProQ family
P45748,tsaC rimN yrdC b3282 JW3243,"SUA5 family, TsaC subfamily"
P45955,cpoB ybgF b0742 JW0732,CpoB family
P45956,ygbF cas2 b2754 JW5438,"CRISPR-associated endoribonuclease Cas2 protein family, E.coli-subtype subfamily"
P46022,mtgA mgt yrbM b3208 JW3175,Glycosyltransferase 51 family
P46133,abgT ydaH b1336 JW5822 ECK1332,
P46136,yddG b1473 JW1469,"Drug/metabolite transporter (DMT) superfamily, Aromatic amino acid/paraquat exporter (ArAA/P-E) (TC 2.A.7.17) family"
P46139,dgcN yfiN b2604 JW2585,
P46849,rtcA yhgJ yhgK b4475 JW5688,"RNA 3'-terminal cyclase family, Type 1 subfamily"
P46850,rtcB yhgL b3421 JW3384,RtcB family
P46883,tynA maoA b1386 JW1381,Copper/topaquinone oxidase family
P46889,ftsK b0890 JW0873,FtsK/SpoIIIE/SftA family
P46891,cof b0446 JW0436,"HAD-like hydrolase superfamily, Cof family"
P50456,mlc dgsA b1594 JW1586,ROK (NagC/XylR) family
P50457,puuE goaG b1302 JW1295,Class-III pyridoxal-phosphate-dependent aminotransferase family
P50465,nei b0714 JW0704,FPG family
P52006,nudI yfaO b2251 JW2245,"Nudix hydrolase family, NudI subfamily"
P52061,rdgB yggV b2954 JW2921,HAM1 NTPase family
P52073,glcE gox yghL b4468 JW5487,
P52074,glcF gox yghL b4467 JW5486,
P52095,ldcC ldc ldcH b0186 JW0181,Orn/Lys/Arg decarboxylase class-I family
P52101,glrK yfhK b2556 JW5407,
P52106,csgD b1040 JW1023,
P52126,abpB yfjK b2627 JW2608,Helicase family
P52129,rnlA std yfjN b2630 JW2611,
P52643,ldhA hslI htpH b1380 JW1375,D-isomer specific 2-hydroxyacid dehydrogenase family
P54745,mngA hrsA b0731 JW0720,
P55135,rlmD rumA ygcA b2785 JW2756,"Class I-like SAM-binding methyltransferase superfamily, RNA M5U methyltransferase family, RlmD subfamily"
P55798,pphA prpA yebX b1838 JW1827,"PPP phosphatase family, PP-1 subfamily"
P56100,cydX ybgT b4515 JW0724,Cytochrome ubiquinol oxidase subunit X family
P56580,srlE gutA gutE b2703 JW5430,
P56976,blr b4409 JW5963,
P60061,adiC aniC yjdD yjdE b4115 JW4076,"Amino acid-polyamine-organocation (APC) superfamily, Basic amino acid/polyamine antiporter (APA) (TC 2.A.3.2) family"
P60240,rapA hepA yabA b0059 JW0058,"SNF2/RAD54 helicase family, RapA subfamily"
P60340,truB yhbA b3166 JW3135,"Pseudouridine synthase TruB family, Type 1 subfamily"
P60422,rplB b3317 JW3279,Universal ribosomal protein uL2 family
P60438,rplC b3320 JW3282,Universal ribosomal protein uL3 family
P60472,ispU rth uppS yaeS b0174 JW0169,UPP synthase family
P60560,guaC b0104 JW0101,"IMPDH/GMPR family, GuaC type 1 subfamily"
P60595,hisH b2023 JW2005,
P60624,rplX b3309 JW3271,Universal ribosomal protein uL24 family
P60651,speB b2937 JW2904,"Arginase family, Agmatinase subfamily"
P60664,hisF b2025 JW2007,HisA/HisF family
P60716,lipA lip b0628 JW0623,"Radical SAM superfamily, Lipoyl synthase family"
P60720,lipB b0630 JW5089,LipB family
P60723,rplD eryA b3319 JW3281,Universal ribosomal protein uL4 family
P60752,msbA b0914 JW0897,"ABC transporter superfamily, Lipid exporter (TC 3.A.1.106) family"
P60785,lepA b2569 JW2553,"TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, LepA subfamily"
P60844,aqpZ bniP b0875 JW0859,MIP/aquaporin (TC 1.A.8) family
P60955,lgt umpA b2828 JW2796,Lgt family
P61175,rplV eryB b3315 JW3277,Universal ribosomal protein uL22 family
P61316,lolA lplA yzzV b0891 JW0874,LolA family
P61320,lolB hemM ychC b1209 JW1200,LolB family
P61887,rffH rmlA2 yifG b3789 JW3763,Glucose-1-phosphate thymidylyltransferase family
P61889,mdh b3236 JW3205,"LDH/MDH superfamily, MDH type 1 family"
P62399,rplE b3308 JW3270,Universal ribosomal protein uL5 family
P62552,ccdA H letA ECOK12F042,CcdA antitoxin family
P62554,ccdB G letB letD ECOK12F043,CcdB toxin family
P62617,ispF mecS ygbB b2746 JW2716,IspF family
P62620,ispG gcpE b2515 JW2499,IspG family
P62623,ispH lytB yaaE b0029 JW0027,IspH family
P62707,gpmA gpm pgm pgmA b0755 JW0738,"Phosphoglycerate mutase family, BPG-dependent PGAM subfamily"
P63020,nfuA gntY yhgI b3414 JW3377,NfuA family
P63183,kup trkD b3747 JW5609,HAK/KUP transporter (TC 2.A.72) family
P63224,gmhA lpcA tfrA yafI b0222 JW0212,"SIS family, GmhA subfamily"
P63228,gmhB yaeD b0200 JW0196,GmhB family
P63235,gadC acsA xasA b1492 JW1487,"Amino acid-polyamine-organocation (APC) superfamily, Glutamate:GABA antiporter (GGA) (TC 2.A.3.7) family"
P63284,clpB htpM b2592 JW2573,ClpA/ClpB family
P63386,mlaF yrbF b3195 JW3162,"ABC transporter superfamily, MlaF family"
P63883,amiC ygdN b2817 JW5449,N-acetylmuramoyl-L-alanine amidase 3 family
P64423,zntB ydaN b1342 JW1336,CorA metal ion transporter (MIT) (TC 1.A.35) family
P64461,lsrG yneC b1518 JW1511,LsrG family
P64467,cnu ydgT b1625 JW1617,Hha/YmoA/Cnu family
P64483,proXp-y yeaK b1787 JW1776,
P64512,mgrB yobG b1826 JW1815,MgrB family
P64524,cbtA yeeV b2005 JW1987,CbtA/YkfI/YpjF toxin family
P64534,rcnB yohN b2107 JW5346,RcnB family
P64588,yqjI b3071 JW3042,
P64594,yhaV b3130 JW3099,
P64596,dolP yraP b3150 JW3119,Lipoprotein DolP family
P64602,mlaB yrbB b3191 JW5535,
P64604,mlaD yrbD b3193 JW3160,MlaD family
P64606,mlaE yrbE b3194 JW3161,MlaE permease family
P64612,zapE yhcM b3232 JW3201,"AFG1 ATPase family, ZapE subfamily"
P64636,yrfG b3399 JW5865,HAD-like hydrolase superfamily
P66817,diaA yraO b3149 JW3118,"SIS family, DiaA subfamily"
P66899,ygeX b2871 JW2839,Diaminopropionate ammonia-lyase family
P66948,bepA yfgC b2494 JW2479,"Peptidase M48 family, BepA subfamily"
P67095,yfcE b2300 JW5377,"Metallophosphoesterase superfamily, YfcE family"
P67430,nemR ydhM b1649 JW5874,
P67444,xanQ ygfO b2882 JW2850,Nucleobase:cation symporter-2 (NCS2) (TC 2.A.40) family
P67603,yqfB b2900 JW2868,N(4)-acetylcytidine amidohydrolase family
P67910,hldD htrM rfaD waaD b3619 JW3594,"NAD(P)-dependent epimerase/dehydratase family, HldD subfamily"
P68183,malG b4032 JW3992,"Binding-protein-dependent transport system permease family, MalFG subfamily"
P68187,malK b4035 JW3995,"ABC transporter superfamily, Maltooligosaccharide importer (TC 3.A.1.1.1) family"
P68398,tadA yfhC b2559 JW2543,Cytidine and deoxycytidylate deaminase family
P68679,rpsU b3065 JW3037,Bacterial ribosomal protein bS21 family
P68688,grxA grx b0849 JW0833,Glutaredoxin family
P68699,atpE papH uncE b3737 JW3715,ATPase C chain family
P68739,nfi yjaF b3998 JW5547,Endonuclease V family
P68767,pepA carP xerB b4260 JW4217,Peptidase M17 family
P68919,rplY b2185 JW2173,Bacterial ribosomal protein bL25 family
P69054,sdhC cybA b0721 JW0711,Cytochrome b560 family
P69210,mdtI ydgE b1599 JW1591,"Drug/metabolite transporter (DMT) superfamily, Small multidrug resistance (SMR) (TC 2.A.7.1) family, MdtI subfamily"
P69212,mdtJ ydgF b1600 JW1592,"Drug/metabolite transporter (DMT) superfamily, Small multidrug resistance (SMR) (TC 2.A.7.1) family, MdtJ subfamily"
P69228,baeR b2079 JW2064,
P69346,yefM b2017 JW5835,PhD/YefM antitoxin family
P69348,yoeB b4539 JW5331,YoeB family
P69380,fieF yiiP b3915 JW3886,"Cation diffusion facilitator (CDF) transporter (TC 2.A.4) family, FieF subfamily"
P69411,rcsF b0196 JW0192,RcsF family
P69423,tatC mttB yigU yigV b3839 JW3815,TatC family
P69425,tatB mttA2 ysgB b3838 JW5580,TatB family
P69428,tatA mttA1 yigT b3836 JW3813,TatA/E family
P69441,adk dnaW plsA b0474 JW0463,Adenylate kinase family
P69451,fadD oldD b1805 JW1794,ATP-dependent AMP-binding enzyme family
P69490,ccmE yejS b2197 JW2185,CcmE/CycJ family
P69681,amtB ybaG b0451 JW0441,Ammonia transporter channel (TC 1.A.11.2) family
P69739,hyaA b0972 JW0954,[NiFe]/[NiFeSe] hydrogenase small subunit family
P69741,hybO yghV b2997 JW2965,[NiFe]/[NiFeSe] hydrogenase small subunit family
P69776,lpp mlpA mulI b1677 JW1667,Lpp family
P69783,crr gsr iex tgs treD b2417 JW2410,
P69786,ptsG glcA umg b1101 JW1087,
P69791,chbA celC b1736 JW1725,
P69795,chbB celA b1738 JW1727,
P69797,manX gptB ptsL b1817 JW1806,
P69801,manY pel ptsP b1818 JW1807,
P69805,manZ gptB ptsM b1819 JW1808,
P69822,ulaB sgaB yjfT b4194 JW4152,
P69828,gatA b2094 JW2078/JW2081,
P69831,gatC b2092 JW2076,
P69853,dmsD ynfI b1591 JW5262,"TorD/DmsD family, DmsD subfamily"
P69856,nanC yjhA b4311 JW5778,"Oligogalacturonate-specific porin KdgM (TC 1.B.35) family, NanC subfamily"
P69874,potA b1126 JW1112,"ABC transporter superfamily, Spermidine/putrescine importer (TC 3.A.1.11.1) family"
P69902,frc yfdW b2374 JW2371,"CoA-transferase III family, Frc subfamily"
P69910,gadB b1493 JW1488,Group II decarboxylase family
P69913,csrA zfiA b2696 JW2666,CsrA/RsmA family
P69922,fucI b2802 JW2773,L-fucose isomerase family
P69924,nrdB ftsB b2235 JW2229,Ribonucleoside diphosphate reductase small chain family
P69931,hda idaB yfgE b2496 JW5397 f248c,"DnaA family, HdA subfamily"
P69937,gdx sugE b4148 JW5738,"Drug/metabolite transporter (DMT) superfamily, Small multidrug resistance (SMR) (TC 2.A.7.1) family, Gdx/SugE subfamily"
P75682,yagE b0268 JW0261,DapA family
P75691,yahK b0325 JW0317,Zinc-containing alcohol dehydrogenase family
P75792,ybiV supH b0822 JW0806,"HAD-like hydrolase superfamily, Cof family, SupH subfamily"
P75804,yliI b0837 JW0821,PQQ oxidoreductase GdhB family
P75809,ybjI b0844 JW5113,"HAD-like hydrolase superfamily, Cof family"
P75820,amiD ybjR b0867 JW0851,N-acetylmuramoyl-L-alanine amidase 2 family
P75823,ltaE ybjU b0870 JW0854,Threonine aldolase family
P75825,hcp ybjW b0873 JW0857,HCP family
P75830,macA ybjY b0878 JW0862,Membrane fusion protein (MFP) (TC 8.A.1) family
P75831,macB ybjZ b0879 JW0863,"ABC transporter superfamily, Macrolide exporter (TC 3.A.1.122) family"
P75849,gloC ycbL b0927 JW0910,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
P75862,zapC ycbW b0946 JW5125,ZapC family
P75864,rlmL rlmK rlmKL ycbY b0948 JW0931,"Methyltransferase superfamily, RlmKL family"
P75876,rlmI yccW b0967 JW5898,"Methyltransferase superfamily, RlmI family"
P75892,rutG ycdG b1006 JW5137,Nucleobase:cation symporter-2 (NCS2) (TC 2.A.40) family
P75898,rutA ycdM b1012 JW0997,"NtaA/SnaA/DszA monooxygenase family, RutA subfamily"
P75906,pgaB ycdR b1023 JW5142,Polysaccharide deacetylase family
P75908,dgcT ycdT b1025 JW5143,
P75913,ghrA ycdW b1033 JW5146,"D-isomer specific 2-hydroxyacid dehydrogenase family, GhrA subfamily"
P75914,ycdX b1034 JW1017,PHP family
P75949,nagZ ycfO b1107 JW1093,"Glycosyl hydrolase 3 family, NagZ subfamily"
P75957,lolD ycfV b1117 JW5162,"ABC transporter superfamily, Lipoprotein translocase (TC 3.A.1.125) family"
P75959,nagK ycfX b1119 JW1105,"ROK (NagC/XylR) family, NagK subfamily"
P75960,cobB ycfY b1120 JW1106,"Sirtuin family, Class III subfamily"
P75990,bluF blrp ycgF b1163 JW1150,
P76008,ldcA ycgQ b1192 JW1181,Peptidase S66 family
P76010,ycgR b1194 JW1183,YcgR family
P76014,dhaL ycgS b1199 JW5186,
P76015,dhaK ycgT b1200 JW5187,
P76037,puuP ycjJ b1296 JW1289,Amino acid-polyamine-organocation (APC) superfamily
P76038,puuD ycjL b1298 JW1291,Peptidase C26 family
P76045,ompG b1319 JW1312,
P76055,ttcA ydaO b1344 JW1338,TtcA family
P76077,paaA ydbO b1388 JW1383,
P76081,paaE ydbR b1392 JW1387,FAD-binding oxidoreductase type 6 family
P76082,paaF ydbR b1393 JW1388,Enoyl-CoA hydratase/isomerase family
P76084,paaI ydbV b1396 JW1391,Thioesterase PaaI family
P76104,rlhA ydcP b1435 JW1431,Peptidase U32 family
P76108,ydcS b1440 JW1435,Bacterial solute-binding protein PotD/PotF family
P76113,curA yncB b1449 JW5907,NADP-dependent oxidoreductase L4BD family
P76129,dosP dos pdeO yddU b1489 JW1484,
P76149,sad yneI b1525 JW5247,Aldehyde dehydrogenase family
P76193,ynhG b1678 JW1668,YkuD family
P76194,sufE ynhA b1679 JW1669,SufE family
P76216,astB ydjT b1745 JW1734,Succinylarginine dihydrolase family
P76236,cdgI yeaI b1785 JW1774,
P76251,dmlA yeaU b1800 JW1789,Isocitrate and isopropylmalate dehydrogenases family
P76256,tsaB yeaZ b1807 JW1796,"KAE1 / TsaD family, TsaB subfamily"
P76257,yoaA b1808 JW1797,"Helicase family, DinG subfamily"
P76316,dcyD yedO b1919 JW5313,ACC deaminase/D-cysteine desulfhydrase family
P76318,yedK yedG b1931 JW1916,SOS response-associated peptidase family
P76330,dgcQ yedQ b1956 JW5832,
P76334,drpB yedR b1963 JW1946,DrpB family
P76339,hprS yedV b1968 JW1951,
P76341,hiuH yedX b1970 JW1953,"Transthyretin family, 5-hydroxyisourate hydrolase subfamily"
P76342,msrP yedY b1971 JW1954,MsrP family
P76343,msrQ yedZ b1972 JW1955,MsrQ family
P76344,zinT yodA b1973 JW1956,"Calycin superfamily, ZinT family"
P76346,mtfA yeeI b1976 JW1958,MtfA family
P76364,cbeA yeeU b2004 JW1986,CbeA/YafW/YfjZ antitoxin family
P76387,wzc b2060 JW2045,Etk/wzc family
P76395,pphC yegK b2072 JW2057,
P76399,mdtC yegO b2076 JW2061,"Resistance-nodulation-cell division (RND) (TC 2.A.6) family, MdtC subfamily"
P76407,yegS b2086 JW2070,"Diacylglycerol/lipid kinase family, YegS lipid kinase subfamily"
P76422,thiD thiJ b2103 JW2090,ThiD family
P76440,preT yeiT b2146 JW2133,NADH dehydrogenase family
P76445,lpxT yeiU b2174 JW2162,LpxT phosphotransferase family
P76458,atoD b2221 JW2215,3-oxoacid CoA-transferase subunit A family
P76459,atoA b2222 JW2216,3-oxoacid CoA-transferase subunit B family
P76469,rhmA yfaU b2245 JW2239,"HpcH/HpaI aldolase family, KDR aldolase subfamily"
P76474,arnF pmrM yfbJ b2258 JW5373,ArnF family
P76491,yfbR b2291 JW2288,5DNU family
P76503,fadI yfcY b2342 JW2339,"Thiolase-like superfamily, Thiolase family"
P76535,murQ yfeU b2428 JW2421,"GCKR-like family, MurNAc-6-P etherase subfamily"
P76541,eutL yffJ b2439 JW2432,EutL/PduB family
P76558,maeB ypfF b2463 JW2447,Malic enzymes family; Phosphate acetyltransferase and butyryltransferase family
P76562,tmcA ypfI b2474 JW2459,"RNA cytidine acetyltransferase family, TmcA subfamily"
P76576,yfgM b2513 JW2497,YfgM family
P76577,pbpC yfgN b2519 JW2503,Glycosyltransferase 51 family; Transpeptidase family
P76594,patZ pka yfiQ b2584 JW2568,Acetate CoA ligase alpha subunit family; Acetate CoA ligase beta subunit family
P76621,glaH csiD gab ygaT b2659 JW5427,Glutarate hydroxylase family
P76632,casB cse2 ygcK b2759 JW2729,CRISPR-associated CasB/Cse2 family
P76658,hldE rfaE waaE yqiF b3052 JW3024,Carbohydrate kinase PfkB family; Cytidylyltransferase family
P77044,mhpC b0349 JW0340,"AB hydrolase superfamily, MhpC family"
P77150,pdxY ydgS b1636 JW1628,"Pyridoxine kinase family, PdxY subfamily"
P77165,paoA yagT b0286 JW0280,
P77172,pdeF yfgF b2503 JW2488,
P77173,zipA b2412 JW2404,ZipA family
P77182,mnmC yfcK b2324 JW5380,"Methyltransferase superfamily, tRNA (mnm(5)s(2)U34)-methyltransferase family; DAO family"
P77202,dsbG ybdP b0604 JW0597,"Thioredoxin family, DsbC subfamily"
P77211,cusC ibeB ylcB b0572 JW0561,Outer membrane factor (OMF) (TC 1.B.17) family
P77212,rclA ykgC b0304 JW5040,Class-I pyridine nucleotide-disulfide oxidoreductase family
P77214,cusF cusX ylcC b0573 JW0562,
P77215,rhmD yfaW b2247 JW2241,"Mandelate racemase/muconate lactonizing enzyme family, RhamD subfamily"
P77218,eutD eutI ypfA b2458 JW2442,Phosphate acetyltransferase and butyryltransferase family
P77239,cusB ylcD b0574 JW0563,Membrane fusion protein (MFP) (TC 8.A.1) family
P77243,prpD yahT b0334 JW0325,PrpD family
P77247,hxpB yniC b1727 JW1716,"HAD-like hydrolase superfamily, CbbY/CbbZ/Gph/YieH family"
P77256,ydjG b1771 JW1760,"Aldo/keto reductase family, Aldo/keto reductase 11 subfamily"
P77258,nemA ydhN b1650 JW1642,NADH:flavin oxidoreductase/NADH oxidase family
P77302,dgcM ydaM b1341 JW5206,
P77324,paoB yagS b0285 JW0279,
P77335,hlyE clyA hpr sheA ycgD b1182 JW5181,Hemolysin E family
P77348,mppA ynaH b1329 JW1322,Bacterial solute-binding protein 5 family
P77364,glxK glxB5 ybbZ b0514 JW0502,Glycerate kinase type-1 family
P77366,ycjU pgmB b1317 JW1310,"HAD-like hydrolase superfamily, CbbY/CbbZ/Gph/YieH family"
P77395,cnoX ybbN b0492 JW5067,
P77398,arnA pmrI yfbG b2255 JW2249,"Fmt family, UDP-L-Ara4N formyltransferase subfamily; NAD(P)-dependent epimerase/dehydratase family, UDP-glucuronic acid decarboxylase subfamily"
P77399,fadJ yfcX b2341 JW2338,Enoyl-CoA hydratase/isomerase family; 3-hydroxyacyl-CoA dehydrogenase family
P77425,allC glxB7 ylbB b0516 JW0504,Peptidase M20 family
P77434,alaC yfdZ b2379 JW2376,Class-I pyridoxal-phosphate-dependent aminotransferase family
P77444,sufS csdB ynhB b1680 JW1670,"Class-V pyridoxal-phosphate-dependent aminotransferase family, Csd subfamily"
P77454,glsA1 ybaS b0485 JW0474,Glutaminase family
P77455,paaZ maoC ydbN b1387 JW1382,Aldehyde dehydrogenase family
P77485,cusS ybcZ b0570 JW5082,
P77488,dxs yajP b0420 JW0410,"Transketolase family, DXPS subfamily"
P77489,paoC yagR b0284 JW0278,Xanthine dehydrogenase family
P77499,sufC ynhD b1682 JW1672,"ABC transporter superfamily, Ycf16 family"
P77510,dpiB citA mpdB ybeP b0619 JW0611,
P77526,yfcG b2302 JW2299,"GST superfamily, Nu-class GSH transferase family"
P77529,tcyP ydjN b1729 JW1718,Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family
P77541,prpB yahQ b0331 JW0323,"Isocitrate lyase/PEP mutase superfamily, Methylisocitrate lyase family"
